,citizen_network_size,network_discount_factor,seed,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
83,10,0.66,4,83,1,25,1110,4,0.001759014951627089,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
84,10,0.66,5,84,0,19,1141,5,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
85,10,0.66,6,85,0,25,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
86,10,0.66,7,86,1,17,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
87,10,0.66,8,87,0,24,1130,8,0.0025951557093425604,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
88,10,0.66,9,88,1,20,1118,9,0.0017497812773403325,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
89,10,0.66,10,89,0,24,1109,10,0.00088261253309797,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
90,10,1.0,1,90,0,15,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
91,10,1.0,2,91,0,21,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
92,10,1.0,3,92,0,27,1105,3,0.0008818342151675485,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
93,10,1.0,4,93,1,19,1113,4,0.002638522427440633,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
94,10,1.0,5,94,0,20,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
95,10,1.0,6,95,0,24,1078,6,0.0018115942028985507,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
96,10,1.0,7,96,1,17,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
97,10,1.0,8,97,1,22,1133,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
98,10,1.0,9,98,0,23,1117,9,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
99,10,1.0,10,99,0,24,1108,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
100,20,0.0,1,100,0,13,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
101,20,0.0,2,101,0,21,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
102,20,0.0,3,102,349,145,633,3,0.03439153439153439,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
103,20,0.0,4,103,1,389,730,4,0.012313104661389622,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
104,20,0.0,5,104,1,18,1141,5,0.0017226528854435831,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
105,20,0.0,6,105,0,23,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
106,20,0.0,7,106,0,18,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
107,20,0.0,8,107,0,24,1130,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
108,20,0.0,9,108,131,356,646,9,0.019247594050743656,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
109,20,0.0,10,109,1,296,815,10,0.01676963812886143,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
110,20,0.33,1,110,0,13,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
111,20,0.33,2,111,0,18,1109,2,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
112,20,0.33,3,112,248,244,633,3,0.008818342151675485,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
113,20,0.33,4,113,0,51,1075,4,0.012313104661389622,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
